Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-March-2019,835.00,847.95,833.30,838.70,839.381714285714285714,875,132,734459.00,383,43.77,14.65,3.70
19-March-2019,841.95,842.00,822.50,832.60,834.109481216457960644,2795,194,2331336.00,2315,82.83,19.50,-9.35
18-March-2019,833.00,840.00,818.00,827.65,828.065458207452165156,993,218,822269.00,596,60.02,22.00,-5.35
15-March-2019,832.00,845.50,823.45,830.15,829.271726535341830822,1726,177,1431323.00,1196,69.29,22.05,-1.85
14-March-2019,828.50,833.00,814.00,831.00,823.887351778656126482,2024,196,1667548.00,587,29.00,19.00,2.50
13-March-2019,840.00,845.20,818.00,827.45,830.577160493827160493,648,139,538214.00,378,58.33,27.20,-12.55
12-March-2019,831.00,850.00,831.00,844.20,843.269329896907216494,776,107,654377.00,548,70.62,19.00,13.20
11-March-2019,811.90,834.00,811.85,829.15,821.078614623419461242,1819,209,1493542.00,1093,60.09,22.15,17.25
8-March-2019,795.10,814.85,788.75,810.30,807.633116883116883116,924,95,746253.00,587,63.53,26.10,15.20
7-March-2019,781.10,805.40,772.80,801.55,796.614826569938789390,4411,221,3513868.00,2645,59.96,32.60,20.45
6-March-2019,771.00,783.10,752.90,779.20,766.227306640139268838,4021,229,3081000.00,3247,80.75,30.20,8.20
5-March-2019,732.40,755.65,732.40,751.75,741.797619047619047619,588,94,436177.00,368,62.59,23.25,19.35
1-March-2019,724.65,735.00,720.10,732.40,728.335570469798657718,745,100,542610.00,434,58.26,14.90,7.75
28-February-2019,713.10,734.00,708.00,723.45,720.647385984427141268,899,92,647862.00,420,46.72,26.00,10.35
27-February-2019,710.25,722.95,699.75,706.55,710.902694610778443113,668,106,474883.00,110,16.47,23.20,-3.70
26-February-2019,704.25,714.90,701.80,708.80,708.373493975903614457,1826,62,1293490.00,567,31.05,13.10,4.55
25-February-2019,722.10,722.10,704.00,707.85,707.746153846153846153,650,115,460035.00,316,48.62,18.10,-14.25
22-February-2019,722.70,730.50,715.00,719.00,722.073783359497645211,637,66,459961.00,316,49.61,15.50,-3.70
21-February-2019,716.00,716.10,702.05,710.80,710.697478991596638655,238,69,169146.00,83,34.87,14.05,-5.20
20-February-2019,704.95,720.00,704.95,710.90,710.239528795811518324,2292,154,1627869.00,2228,97.21,15.05,5.95
19-February-2019,710.25,712.60,690.35,697.90,702.657142857142857142,455,88,319709.00,271,59.56,22.25,-12.35
18-February-2019,714.70,715.05,705.80,706.65,706.869017632241813602,397,51,280627.00,284,71.54,9.25,-8.05
15-February-2019,699.10,768.80,694.65,717.60,728.461742591773551525,2261,352,1647052.00,687,30.38,74.15,18.50
14-February-2019,685.95,707.15,685.55,694.65,696.347402597402597402,616,108,428950.00,264,42.86,21.60,8.70
13-February-2019,695.00,706.05,682.00,692.15,687.313585009644530173,3629,287,2494261.00,2065,56.90,24.05,-2.85
12-February-2019,697.35,707.05,685.00,691.35,695.846860643185298621,653,118,454388.00,355,54.36,22.05,-6.00
11-February-2019,699.10,703.10,690.00,698.25,695.835443037974683544,948,112,659652.00,528,55.70,13.10,-0.85
8-February-2019,710.00,720.00,687.80,694.30,706.855737704918032786,305,74,215591.00,58,19.02,32.20,-15.70
7-February-2019,694.00,710.00,694.00,703.45,701.811912225705329153,319,65,223878.00,166,52.04,16.00,9.45
6-February-2019,690.05,700.75,685.00,690.90,693.327235772357723577,492,113,341117.00,319,64.84,15.75,0.85
5-February-2019,694.40,710.00,688.00,690.30,698.900000000000000000,370,92,258593.00,153,41.35,22.00,-4.10
4-February-2019,695.70,718.40,656.00,703.55,704.154119739181979845,1687,197,1187908.00,645,38.23,62.40,7.85
1-February-2019,707.00,718.45,701.70,710.90,714.346292947558770343,1106,139,790067.00,547,49.46,16.75,3.90
31-January-2019,705.00,714.00,698.50,711.15,707.611764705882352941,425,63,300735.00,241,56.71,15.50,6.15
30-January-2019,699.55,712.75,699.15,708.20,703.709762532981530343,379,57,266706.00,236,62.27,13.60,8.65
29-January-2019,694.40,708.90,685.15,707.30,695.444783834586466165,12768,223,8879439.00,441,3.45,23.75,12.90
28-January-2019,705.35,712.25,686.95,702.40,699.977324263038548752,1323,194,926070.00,799,60.39,25.30,-2.95
25-January-2019,711.45,723.25,702.85,711.35,710.781081081081081081,370,85,262989.00,134,36.22,20.40,-0.10
24-January-2019,710.00,723.00,707.00,719.45,718.303206997084548104,1029,134,739134.00,509,49.47,16.00,9.45
23-January-2019,729.35,729.35,704.50,706.90,717.475502119674751546,14389,389,10323755.00,2307,16.03,24.85,-22.45
22-January-2019,735.30,735.40,715.50,717.40,722.761379310344827586,725,75,524002.00,328,45.24,19.90,-17.90
21-January-2019,737.25,750.00,735.00,738.00,744.241903502974223397,6052,321,4504152.00,1286,21.25,15.00,0.75
18-January-2019,730.00,738.00,717.10,733.25,726.357290645758466732,9183,287,6670139.00,297,3.23,20.90,3.25
17-January-2019,738.00,740.00,712.20,716.80,729.359712230215827338,834,142,608286.00,284,34.05,27.80,-21.20
16-January-2019,719.00,732.00,714.45,728.25,725.379691591504218795,3437,304,2493130.00,1562,45.45,17.55,9.25
15-January-2019,717.30,719.35,708.20,709.00,710.931153184165232358,581,57,413051.00,253,43.55,11.15,-8.30
14-January-2019,700.00,717.00,697.95,712.65,707.331332992849846782,7832,142,5539819.00,327,4.18,19.05,12.65
11-January-2019,700.00,702.90,699.25,700.00,700.285580524344569288,1068,88,747905.00,929,86.99,3.65,0.00
10-January-2019,705.50,718.00,702.80,708.85,706.268551236749116607,283,62,199874.00,116,40.99,15.20,3.35
9-January-2019,708.00,708.00,698.50,699.65,701.476136363636363636,880,51,617299.00,709,80.57,9.50,-8.35
8-January-2019,715.00,716.00,694.05,708.75,704.732935866718671644,17947,291,12647842.00,639,3.56,21.95,-6.25
7-January-2019,720.00,721.05,714.10,714.60,715.739361702127659574,188,25,134559.00,156,82.98,6.95,-5.40
4-January-2019,718.90,724.75,715.00,716.05,717.623853211009174311,218,48,156442.00,140,64.22,9.75,-2.85
3-January-2019,721.40,738.00,721.00,727.20,730.288998510796723752,10744,297,7846225.00,548,5.10,17.00,5.80
2-January-2019,729.00,737.00,719.05,722.85,730.445024293683642253,5557,360,4059083.00,2232,40.17,17.95,-6.15
1-January-2019,694.00,730.00,694.00,720.40,715.492037820353321721,8038,225,5751125.00,854,10.62,36.00,26.40
31-December-2018,707.05,719.00,707.00,715.35,713.690909090909090909,165,37,117759.00,37,22.42,12.00,8.30
28-December-2018,719.20,727.75,711.00,712.10,714.576171875000000000,512,88,365863.00,304,59.38,16.75,-7.10
27-December-2018,732.90,733.00,710.90,721.80,722.571125765426283560,12738,207,9204111.00,385,3.02,22.10,-11.10
26-December-2018,735.05,738.00,714.00,718.70,726.471011595361855257,2501,283,1816904.00,534,21.35,24.00,-16.35
24-December-2018,732.00,737.75,724.90,729.65,730.597304530682469891,10462,161,7643509.00,294,2.81,12.85,-2.35
21-December-2018,750.00,761.70,744.60,749.95,750.130434782608695652,943,102,707373.00,239,25.34,17.10,-0.05
20-December-2018,752.00,758.85,737.50,752.45,751.832214765100671140,745,91,560115.00,257,34.50,21.35,0.45
19-December-2018,737.75,775.00,737.50,748.35,757.091354996934396076,11417,350,8643712.00,1066,9.34,37.50,10.60
18-December-2018,738.75,738.75,725.30,730.30,732.145348837209302325,172,34,125929.00,75,43.60,13.45,-8.45
17-December-2018,721.15,743.95,721.15,738.65,737.814356435643564356,404,69,298077.00,220,54.46,22.80,17.50
14-December-2018,744.00,753.95,721.35,731.30,741.358078602620087336,1145,198,848855.00,357,31.18,32.60,-12.70
13-December-2018,729.90,742.70,722.10,729.75,732.299880525686977299,837,166,612935.00,382,45.64,20.60,-0.15
12-December-2018,720.50,735.00,712.05,718.25,719.284786641929499072,1078,198,775389.00,484,44.90,22.95,-2.25
11-December-2018,708.20,720.00,707.10,710.60,712.919475030586141697,8991,122,6409859.00,318,3.54,12.90,2.40
10-December-2018,703.00,712.00,691.00,705.05,706.041818181818181818,550,80,388323.00,331,60.18,21.00,2.05
7-December-2018,712.60,719.00,710.00,713.70,712.887179487179487179,195,89,139013.00,153,78.46,9.00,1.10
6-December-2018,709.00,728.80,706.50,716.10,713.118685121107266435,2890,125,2060913.00,1656,57.30,22.30,7.10
5-December-2018,705.20,710.00,705.20,709.00,708.184242424242424242,825,46,584252.00,557,67.52,4.80,3.80
4-December-2018,697.15,715.00,697.10,705.95,704.829268292682926829,246,37,173388.00,148,60.16,17.90,8.80
